Time_s;THROTTLE_POS;SPEED;RPM;ENGINE_LOAD;FUEL_LEVEL;COOLANT_TEMP;MAF;ACCELERATOR_POS_D;OIL_TEMP
1554926263.0190308;86.66666666666667;0;856.5;22.352941176470587;90.58823529411765;18;18.87;5.490196078431373;12
1554926263.1247277;86.66666666666667;0;856.5;22.352941176470587;90.58823529411765;18;18.18;5.490196078431373;12
1554926263.2287593;86.66666666666667;0;861.75;22.352941176470587;90.58823529411765;18;18.18;5.490196078431373;12
1554926263.336607;86.66666666666667;0;861.75;22.352941176470587;90.58823529411765;18;18.18;5.490196078431373;12
1554926263.572093;86.66666666666667;0;862.75;22.352941176470587;89.01960784313725;18;19.06;5.490196078431373;12
1554926263.7399087;86.66666666666667;0;862.75;22.352941176470587;89.01960784313725;18;19.06;5.490196078431373;12
1554926263.876119;86.66666666666667;0;862.75;22.352941176470587;89.01960784313725;18;19.06;5.490196078431373;12
1554926263.9818027;86.66666666666667;0;862.75;22.352941176470587;89.01960784313725;18;19.06;5.490196078431373;12
1554926264.2140033;86.66666666666667;0;861.75;22.352941176470587;89.01960784313725;18;19.03;5.490196078431373;12
1554926264.366918;86.66666666666667;0;861.75;22.352941176470587;89.01960784313725;18;19.03;5.490196078431373;12
1554926264.482723;86.66666666666667;0;861.75;23.529411764705884;89.01960784313725;18;19.03;5.490196078431373;12
1554926264.6466184;86.66666666666667;0;856.0;23.529411764705884;89.01960784313725;18;18.28;5.490196078431373;12
1554926264.777543;86.66666666666667;0;856.0;23.529411764705884;89.01960784313725;18;18.28;5.490196078431373;12
1554926264.9124427;86.66666666666667;0;856.0;23.137254901960784;89.01960784313725;18;18.28;5.490196078431373;12
1554926265.01461;86.66666666666667;0;860.25;23.137254901960784;89.01960784313725;18;18.71;5.490196078431373;12
1554926265.117132;86.66666666666667;0;860.25;23.137254901960784;89.01960784313725;18;18.71;5.490196078431373;12
1554926265.3814368;86.66666666666667;0;860.25;23.137254901960784;89.01960784313725;18;18.71;5.490196078431373;12
1554926265.559775;86.66666666666667;0;860.25;23.529411764705884;89.01960784313725;18;18.71;5.490196078431373;12
1554926265.695259;86.66666666666667;0;860.25;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926265.7971268;86.66666666666667;0;860.25;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926265.9153402;86.66666666666667;0;862.0;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.02084;86.66666666666667;0;862.0;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.3150294;86.66666666666667;0;862.0;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.5496385;86.66666666666667;0;862.0;23.529411764705884;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.666465;86.66666666666667;0;862.0;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.8054361;86.66666666666667;0;862.0;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926266.9710784;86.66666666666667;0;860.75;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.0726998;86.66666666666667;0;860.75;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.1789224;86.66666666666667;0;860.75;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.2830472;86.66666666666667;0;860.75;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.3849118;86.66666666666667;0;860.75;22.745098039215687;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.5020087;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.93;5.490196078431373;12
1554926267.9268842;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.93;5.490196078431373;12
1554926268.0315325;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.18;5.490196078431373;12
1554926268.1600559;86.66666666666667;0;858.25;22.352941176470587;89.01960784313725;18;18.18;5.490196078431373;12
1554926268.2964685;86.66666666666667;0;858.25;22.352941176470587;89.01960784313725;18;18.18;5.490196078431373;12
1554926268.406619;86.66666666666667;0;858.25;22.745098039215687;89.01960784313725;18;18.18;5.490196078431373;12
1554926268.5119686;86.66666666666667;0;858.25;22.745098039215687;89.01960784313725;18;18.18;5.490196078431373;12
1554926268.6748862;86.66666666666667;0;860.5;22.745098039215687;89.01960784313725;18;19.18;5.490196078431373;12
1554926268.7335796;86.66666666666667;0;860.5;22.745098039215687;89.01960784313725;18;19.18;5.490196078431373;12
1554926268.8564847;86.66666666666667;0;860.5;22.745098039215687;89.01960784313725;18;19.18;5.490196078431373;12
1554926268.964156;86.66666666666667;0;861.25;22.745098039215687;89.01960784313725;18;18.78;5.490196078431373;12
1554926269.0949426;86.66666666666667;0;861.25;22.745098039215687;89.01960784313725;18;18.78;5.490196078431373;12
1554926269.2015321;86.66666666666667;0;861.25;22.745098039215687;89.01960784313725;18;18.78;5.490196078431373;12
1554926269.3160577;86.66666666666667;0;861.25;22.352941176470587;89.01960784313725;18;18.78;5.490196078431373;12
1554926269.417887;86.66666666666667;0;861.25;22.352941176470587;89.01960784313725;18;18.84;5.490196078431373;12
1554926269.5278327;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.84;5.490196078431373;12
1554926269.6571922;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.84;5.490196078431373;12
1554926269.7604978;86.66666666666667;0;860.75;22.352941176470587;89.01960784313725;18;18.84;5.490196078431373;12
