Time_s;THROTTLE_POS;SPEED;RPM;ENGINE_LOAD;FUEL_LEVEL;COOLANT_TEMP;MAF;ACCELERATOR_POS_D;OIL_TEMP
1555050544.0334477;49.80392156862745;10;1063.0;17.647058823529413;70.98039215686275;24;15.71;21.568627450980394;16
1555050544.1370468;49.80392156862745;10;1063.0;17.647058823529413;70.98039215686275;24;15.71;13.333333333333334;16
1555050544.2415946;49.80392156862745;10;1063.0;17.647058823529413;70.98039215686275;24;15.71;13.333333333333334;16
1555050544.3601108;49.80392156862745;10;1017.75;9.803921568627452;70.98039215686275;24;14.71;13.333333333333334;16
1555050544.4650192;49.80392156862745;10;1017.75;9.803921568627452;70.98039215686275;24;14.71;5.490196078431373;16
1555050544.5892048;49.80392156862745;10;1017.75;9.803921568627452;70.98039215686275;24;14.71;5.490196078431373;16
1555050544.8444316;49.80392156862745;10;1017.75;9.803921568627452;70.98039215686275;24;14.71;5.490196078431373;16
1555050544.891648;48.627450980392155;10;1017.75;9.803921568627452;70.98039215686275;24;10.28;5.490196078431373;16
1555050545.0224683;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;5.490196078431373;16
1555050545.126424;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;5.490196078431373;16
1555050545.2365131;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;5.490196078431373;16
1555050545.4565263;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;5.490196078431373;16
1555050545.5799146;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;6.2745098039215685;16
1555050545.691962;48.627450980392155;10;852.25;12.941176470588236;70.98039215686275;24;10.28;6.2745098039215685;16
1555050545.8265505;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.28;6.2745098039215685;16
1555050545.9287565;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.28;6.2745098039215685;16
1555050546.0416005;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.1468077;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.2723627;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.3864524;49.80392156862745;10;852.25;12.941176470588236;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.496604;49.80392156862745;10;762.25;12.941176470588236;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.6897163;49.80392156862745;10;762.25;42.745098039215684;70.98039215686275;24;10.46;6.2745098039215685;16
1555050546.760067;49.80392156862745;6;762.25;42.745098039215684;70.98039215686275;24;10.46;6.2745098039215685;16
